"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that nested menu items are clickable and lead to the correct pages.","1577","Verify Clickable Nested Menu Items","","Tue Sep 24 15:57:05 AMT 2024","passed","Tue Sep 24 15:57:07 AMT 2024","","Nested Menu Tests","",""
"This test verifies that nested menu items are clickable and lead to the correct pages.","1740","Verify Clickable Nested Menu Items","","Tue Sep 24 15:57:03 AMT 2024","passed","Tue Sep 24 15:57:05 AMT 2024","","Nested Menu Tests","",""
"This test verifies that all footer links work correctly.","11539","Verify Footer Links","","Tue Sep 24 15:57:16 AMT 2024","passed","Tue Sep 24 15:57:27 AMT 2024","","Footer Tests","",""
"This test verifies that the image slider works as expected.","2518","Verify Slider Functionality","","Tue Sep 24 15:57:27 AMT 2024","passed","Tue Sep 24 15:57:30 AMT 2024","","Slider Tests","",""
"This test verifies that nested menu items are clickable and lead to the correct pages.","1636","Verify Clickable Nested Menu Items","","Tue Sep 24 15:57:02 AMT 2024","passed","Tue Sep 24 15:57:03 AMT 2024","","Nested Menu Tests","",""
"This test verifies that products can be added to the cart successfully.","1516","Verify Add to Cart Functionality","","Tue Sep 24 15:57:09 AMT 2024","passed","Tue Sep 24 15:57:11 AMT 2024","","Cart Tests","",""
"This test verifies that all main menu items are clickable and lead to the correct pages.","7960","Verify Clickable Menu Items","","Tue Sep 24 15:56:52 AMT 2024","passed","Tue Sep 24 15:57:00 AMT 2024","","Main Menu Tests","",""
"This test verifies that the search functionality returns correct products.","2432","Verify Product Search","","Tue Sep 24 15:57:07 AMT 2024","passed","Tue Sep 24 15:57:09 AMT 2024","","Search Tests","",""
"This test verifies that products can be added to the wishlist successfully.","1801","Verify Add to Wishlist Functionality","","Tue Sep 24 15:57:14 AMT 2024","passed","Tue Sep 24 15:57:16 AMT 2024","","Wishlist Tests","",""
"This test verifies that nested menu items are clickable and lead to the correct pages.","2083","Verify Clickable Nested Menu Items","","Tue Sep 24 15:57:00 AMT 2024","passed","Tue Sep 24 15:57:02 AMT 2024","","Nested Menu Tests","",""
